Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Cornwell's Apple Cider Vinegar Cider 750mL,3.8,3.4,Pantry,Pantry,
Cornwell's Vinegar Malt 750mL,3.2,3.1,Pantry,Pantry,
Continental Recipe Base Shepherds Pie 50g,1.5,1.6,Pantry,Pantry,
Western Star Original Spreadable 375g,5.55,5.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Masterfoods Marinade Satay 375g,2.5,2.5,Pantry,Pantry,
Olive Grove Classic Spread 500g,3.5,3.5,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Masterfoods Recipe Base Beef Stroganoff 175g,2.0,2.2,Pantry,Pantry,
Masterfoods Recipe Base Curried Sausages 175g,2.0,2.2,Pantry,Pantry,
Masterfoods Honey Mustard Chicken Recipe Base 175g,2.0,2.2,Pantry,Pantry,
Continental Recipe Base Curried Sausages 35g,1.5,1.6,Pantry,Pantry,
Cornwell's White Vinegar White 750mL,3.2,3.1,Pantry,Pantry,
Spc Spaghetti Rich Tomato Sauce 420g,1.15,1.4,Pantry,Pantry,
Western Star Original Butter Block 250g,3.5,4.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Kan Tong Black Bean Stir Fry Cooking Sauce 510g,3.65,3.0,Pantry,Pantry,Specials
Spc Baked Beans Tomato Sauce 4x220g,4.65,5.0,Pantry,Pantry,
Heinz Baked Beans English Recipe 300g,2.0,2.0,Pantry,Pantry,
Spc Baked Beans Tomato Sauce 425g,1.15,1.4,Pantry,Pantry,
Maggi 2 Minute Instant Cup Noodle Chicken 60g,2.0,1.8,Pantry,Pantry,
Maggi 2 Minute Instant Noodles Chicken 5 pack,3.95,3.8,Pantry,Pantry,Specials
Masterfoods Teriyaki Chicken Stir Fry Recipe Base 175g,2.0,2.2,Pantry,Pantry,
Mainland Buttersoft Pure Salted Butter 375g,6.0,6.25,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Continental Flavoured Rice Chicken 120g,2.2,1.6,Pantry,Pantry,Specials
Suimin Brasied Beef Noodle Cup 70g,1.65,1.5,Pantry,Pantry,
Maggi 2 Minute Instant Beef Noodles 5 pack,3.95,3.8,Pantry,Pantry,Specials
San Remo La Pasta Macaroni Cheese Single Snack 80g,1.0,1.0,Pantry,Pantry,
Heinz Spaghetti Extra Cheesy Sauce 300g,2.0,2.0,Pantry,Pantry,
Indomie Mi Goreng Instant Noodles 5 pack 425g,2.75,2.75,Pantry,Pantry,
Suimin Chicken Noodle Cup 70g,1.65,1.5,Pantry,Pantry,
Heinz Spaghetti Tomato Sauce 300g,2.0,2.0,Pantry,Pantry,
Kraft Easy Mac Classic Cheese 4 pack,4.45,4.0,Pantry,Pantry,
Hamper Beef Corned 340g,6.5,6.5,Pantry,Pantry,
Nesquik Strawberry Flavour 250g,3.1,2.8,Drinks,Drinks,
Nestle Milo Malted Drinking Chocolate 460g,7.0,7.0,Drinks,Drinks,
Green's Cake Mix Traditional Vanilla 470g,2.8,2.75,Pantry,Pantry,
White Wings Pancake Mix Original Shaker 350g,2.8,2.5,Pantry,Pantry,
Nestle Milo Choc-malt 200g,4.45,4.0,Drinks,Drinks,
Green's Pancake Mix Original Shake 375g,2.9,2.2,Pantry,Pantry,Specials
Betty Crocker Brownie Mix Frosted Chocolate 500g,5.2,5.2,Pantry,Pantry,
Green's Cake Mix Traditional Chocolate 440g,2.8,2.75,Pantry,Pantry,
Green's Maple Syrup Pancake Shake 325g,3.2,2.2,Pantry,Pantry,Specials
Green's Pancake Mix Buttermilk Shake 325g,3.2,2.2,Pantry,Pantry,Specials
White Wings Pancake Mix Buttermilk 325g,2.8,2.5,Pantry,Pantry,
Crisco Canola Oil 750mL,3.8,3.45,Pantry,Pantry,Specials
Green's Cake Mix Traditional Carrot 470g,2.8,2.75,Pantry,Pantry,
Oxo Chicken Stock Cubes 71g,2.8,2.0,Pantry,Pantry,
Gold'n Canola Canola Oil 4L,20.0,18.0,Pantry,Pantry,
Mckenzie's Baking Powder 125g,2.8,2.0,Pantry,Pantry,Specials
Angas Park Prunes Pitted Resealable 500g,6.9,7.9,Pantry,Pantry,
White Wings Brownie Mix Double Chocolate Fudge 560g,4.45,3.0,Pantry,Pantry,Specials
Queen Organic Vanilla Essence 50mL,4.45,4.0,Pantry,Pantry,
Oxo Beef Stock Cubes 71g,2.8,2.0,Pantry,Pantry,
Csr Brown Sugar Dark 1kg,4.45,3.15,Pantry,Pantry,Specials
Campbell's Real Chicken Liquid Stock 500mL,2.55,2.29,Pantry,Pantry,
Vegeta Vegetable Gourmet Stock Powder 250g,4.1,1.85,Pantry,Pantry,Specials
Campbell's Real Vegetable Liquid Stock 500mL,2.55,2.29,Pantry,Pantry,
Mckenzie's Coconut Shredded Loose 215g,2.9,3.3,Pantry,Pantry,
Csr Icing Sugar Pure 500g,2.05,1.85,Pantry,Pantry,
