Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
Chicken Tonight Pub Favourites Chicken Kiev Cooking Sauce 500g,Chicken Tonight Pub,chicken tonight,2.5,2.5,$0.50 per 100G,$0.50 / 100G
Clif Bar Cool Mint Chocolate Energy Bar 68g,Clif,clif bar,2.4,3.0,$3.53 per 100G,$4.41 / 100G
Club Orange Soft Drink 330mL,Club,,2.4,2.4,$0.73 per 100mL,$0.73 / 100ML
Coca-cola Diet Soft Drink Can 250mL,Coca Cola,coca-cola,2.25,2.25,$9.00 per 1L,$9.00 / 1L
Coca-cola No Sugar Soft Drink Can 250mL,Coca Cola,coca-cola,2.25,2.25,$9.00 per 1L,$9.00 / 1L
Colmans Mint Sauce 165g,Colman's,colmans,4.0,4.0,$2.42 per 100G,$2.42 / 100G
Cover Girl & Olay Simply Ageless Foundation 220 Creamy Natural 12g,Covergirl,cover girl,25.5,12.75,$21.25 per 10G,$10.63 / 10G
Cover Girl & Olay Simply Ageless Foundation 225 Buff Beige 12g,Covergirl,cover girl,25.5,12.75,$21.25 per 10G,$10.63 / 10G
Cover Girl & Olay Simply Ageless Foundation 240 Natural Beige 12g,Covergirl,cover girl,25.5,12.75,$21.25 per 10G,$10.63 / 10G
Cover Girl Advanced Radiance Pressed Powder 110 Creamy Natural 11g,Covergirl,cover girl,20.0,10.0,$152.67 per 100mL,$9.09 / 10G
Cover Girl Advanced Radiance Pressed Powder 120 Natural Beige 11g,Covergirl,cover girl,20.0,10.0,$15.27 per 10mL,$9.09 / 10G
Cover Girl Perfect Blend Eye Pencil 110 Black Brown each,Covergirl,cover girl,13.0,6.5,$152.94 per 10G,$76.47 / 10G
David Beckham Instinct Deodorant Body Spray 150mL,Beckham,david beckham,8.0,8.0,$5.33 per 100mL,$5.33 / 100ML
David Beckham Intimately Deodorant Body Spray 150mL,Beckham,david beckham,8.0,8.0,$5.33 per 100mL,$5.33 / 100ML
Difflam Plus Sore Throat Lozenges + Anaesthetic Blackcurrant 16 pack,Difflam Plus,difflam,10.0,8.0,$0.63 per 1Ea,$0.50 / 1EA
Dollar Sweets 100s & 1000s 190g,Dollar,dollar sweets,2.0,2.0,$1.05 per 100G,$1.05 / 100G
Dollar Sweets Chocolate 100s & 1000s 130g,Dollar,dollar sweets,5.0,5.0,$3.85 per 100G,$3.85 / 100G
