SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
4212394P,Pitango Ginger Miso Chicken Meal 350g,Pitango,Ginger Miso Chicken Meal,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/ginger-miso-chicken-meal
3902295P,Sumo Well Crumbed Chicken With Rosemary Potatoes & Gravy 300g,Sumo Well,Crumbed Chicken With Rosemary Potatoes & Gravy,9.95,$3.32 per 100G,300g,,Convenience Meals,https://shop.coles.com.au/a/national/product/sumo-society-crumbed-chicken-w-potatoes
3583801P,Coles Kitchen Hoisin Pork Spring Roll 200g,Coles,Kitchen Hoisin Pork Spring Roll,6.0,$3.00 per 100G,200g,,Convenience Meals,https://shop.coles.com.au/a/national/product/easy-entertaining-hoisin-pork-springroll
3902058P,Dineamic Smokey Chicken & Roasted Chat Potatoes 360g,Dineamic,Smokey Chicken & Roasted Chat Potatoes,9.95,$2.76 per 100G,360g,,Convenience Meals,https://shop.coles.com.au/a/national/product/dineamic-smokey-chicken-roasted-chat-potatoes
3292762P,Coles Deli Salads Tub Bulk Classic Potato each,Coles Deli,Salads Tub Bulk Classic Potato,12.0,$12.00 per 1Ea,each,,Convenience Meals,https://shop.coles.com.au/a/national/product/bulk-classic-potato
4219586P,Fable Plant Based Mealsstroganoff 350g,Fable,Plant Based Mealsstroganoff,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/meal-stroganoff
3903345P,Coles Kitchen Balanced Coconut Chicken Curry With Grains 320g,Coles,Kitchen Balanced Coconut Chicken Curry With Grains,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-coconut-chicken-curry
3902885P,Coles Kitchen Balanced Beef & Bean Burrito Bowl 350g,Coles,Kitchen Balanced Beef & Bean Burrito Bowl,7.5,$2.14 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-bef-bean-burrito-bowl
4219553P,Fable Plant Based Mealsteriyaki 350g,Fable,Plant Based Mealsteriyaki,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/meal-teriyaki
3903607P,Coles Kitchen Vegetable Spring Rolls 200g,Coles,Kitchen Vegetable Spring Rolls,6.0,$3.00 per 100G,200g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-spring-rolls-vegetable
3583608P,Coles Kitchen Corn Fritters 180g,Coles,Kitchen Corn Fritters,6.0,$3.33 per 100G,180g,,Convenience Meals,https://shop.coles.com.au/a/national/product/easy-entertaining-corn-fritters
3903356P,Coles Kitchen Pesto Chicken & Pasta 320g,Coles,Kitchen Pesto Chicken & Pasta,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-pesto-chicken-pasta
3363270P,Coles Kitchen Flatbread Tomato & Pesto 210g,Coles,Kitchen Flatbread Tomato & Pesto,3.0,$1.43 per 100G,210g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-flatbread-tomato-pesto
3610802P,Fitness Outcomes Grass Fed Beef Chilli Con Carne With Brown Rice & Green Beans 350g,Fitness,Outcomes Grass Fed Beef Chilli Con Carne With Brown Rice & Green Beans,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/fitness-outcomes-grass-fed-beef-chilli-con-carne
4204931P,Youfoodz Power Bowl Lamb Risoni 300g,Youfoodz,Power Bowl Lamb Risoni,9.95,$3.32 per 100G,300g,,Convenience Meals,https://shop.coles.com.au/a/national/product/lamb-risoni
4217820P,Coles Kitchen Balanced Meal Middle Eastern Tagine 320g,Coles,Kitchen Balanced Meal Middle Eastern Tagine,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/middle-eastern-tagine
4204818P,Youfoodz Roast Chicken & Creamy Leek Sauce 314g,Youfoodz,Roast Chicken & Creamy Leek Sauce,9.95,$3.17 per 100G,314g,,Convenience Meals,https://shop.coles.com.au/a/national/product/roast-chicken-lek-sce
3363248P,Coles Kitchen Garlic & Herb Flatbread 210g,Coles,Kitchen Garlic & Herb Flatbread,3.0,$1.43 per 100G,210g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-flatbread-garlic-herb
4212419P,Pitango Mexican Chicken Burrito Bowl 350g,Pitango,Mexican Chicken Burrito Bowl,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/mex-chckn-burrito-bowl
3385772P,Modo Eco Living Sugarcane Disposable Dinner Plates 10 pack,Modo,Eco Living Sugarcane Disposable Dinner Plates,3.5,$0.35 per 1Ea,10 pack,,Entertaining At Home,https://shop.coles.com.au/a/national/product/modo-sugarcane-dinner-plate
